beneficiary_id,beneficiary_name,officer_id,pillar_id,guardian_name,registered_address,mobile_money_number,enrollment_date,is_active
BEN-0102,Mario Black,OFF-013,Plus,Lisa Benson,"3122 Rodriguez Motorway Suite 497, West Andrew, AR 70620",666.357.5460x273,2024-12-04,True
BEN-0003,Aimee Turner,OFF-005,Tech,Chad Scott,"6226 Vincent Village, Charleston, NE 02957",715.496.9664x160,19/11/2024,True
BEN-0072,Maureen Hernandez,OFF-001,Vocational,Jorge Cummings,"374 Marshall Courts Apt. 045, Ronaldville, CT 99880",3027255794,,True
BEN-0055,Jason Day,OFF-015,Tech,Danielle Mcknight,"5787 Durham Parkway, Paulburgh, AK 42296",+1-530-540-7859x321,2024-07-28,True
BEN-0126,Stephanie Soto,OFF-013,Vocational,Jill Kelly,"817 Christopher Unions, Davisport, TX 84966",666.357.5460x273,2024-12-06,True
BEN-0030,Michele Sanders,OFF-011,Scholarship,Frank Campbell,"4587 Garcia Stravenue Suite 535, Robertshire, VI 29503",001-820-548-9964x2353,2024-09-15,True
BEN-0029,Kristina Faulkner,OFF-006,Vocational,Brandi Sanchez,"5183 Joseph Spring, Port Charlesshire, VA 88509",+1-337-935-4033,2024-12-13,True
BEN-0121,Erin Gutierrez,OFF-013,Plus,Daniel Brown,"9469 Green Ports, Sarashire, NM 68619",666.357.5460x273,04/12/2024,True
BEN-0039,Michael Vaughn,OFF-006,Vocational,Zachary Webb,"25457 Adriana Keys, Davismouth, MD 09305",801-905-1238x2825,2024-07-20,True
BEN-0069,Jennifer Sanford,OFF-015,Tech,Andrew Gonzalez,"8300 Jeremy Wells, Larryville, MS 66474",001-742-810-4478,08/12/2024,True
BEN-0130,Brandy Jones,OFF-002,Vocational,Nathan Tucker,"26796 Shawn Manors, Cruzbury, HI 56176",+1-209-973-8468x950,2024-10-29,True
BEN-0087,Dennis Young,OFF-014,Plus,Kelly Moody,"05184 Lane Port Apt. 665, New Johnbury, NC 53695",666.357.5460x273,2024-12-02,True
BEN-0144,Shane Wright,OFF-011,Scholarship,Daniel Pennington,"USS Butler, FPO AE 05751",280.868.6717x7318,2024-12-21,True
BEN-0006,Robert Monroe,OFF-012,Vocational,Mrs. Maria Williams,"892 Watson Haven Suite 659, Port Crystalmouth, CA 43714",486-744-9251,2024-08-06,True
BEN-0019,Robert Morgan,OFF-001,Plus,Nicole Gonzalez,"02578 Hernandez Passage, West Sarah, MD 21800",(794)795-8887x9470,,True
BEN-0198,Pamela Williams,OFF-011,Vocational,Craig Thompson,"8323 Gregory Greens, North Marieberg, MS 86336",853-347-3552,26/06/2024,True
BEN-0128,Erika Davis,OFF-003,Tech,Eric Sullivan,"7013 Paige Throughway Apt. 227, Petershire, NV 26147",254.894.6519,2024-11-29,True
BEN-0024,William Woods,OFF-014,Plus,Adriana Reyes,"4990 Valdez Square Apt. 017, Erikhaven, MH 92717",666.357.5460x273,2024-12-02,True
BEN-0122,Justin Walsh,OFF-005,Vocational,Curtis Campbell,"8850 Gina Junctions Suite 990, East Mark, MA 88643",670.727.2785x7608,2024-09-27,True
BEN-0089,Catherine Keller,OFF-009,Vocational,Nathaniel Cooper,"66210 Alexandra Parkways, Serranoville, HI 62874",+1-890-888-1172x980,2024-08-19,True
BEN-0111,John Mcgee,OFF-002,Scholarship,Deborah Ross,"78376 Ann Street, East Charles, WI 56870",491-716-6553x55904,2024-10-10,True
BEN-0143,Nathan Chen,OFF-012,Scholarship,Christina Martinez,"2177 Jackson Junctions, West Cassandra, WY 84124",+1-929-683-1687x397,2024-06-04,True
BEN-0090,Joseph Perez,OFF-001,Vocational,Rachel James,"2473 Justin Wells, Scotttown, VT 97972",8987180635,2024-06-23,True
