disbursement_id,authorization_id,beneficiary_id,pillar_id,period,date,amount_paid,channel,disbursing_account,processed_by
DISB-001601,AUTH-001677,BEN-0149,Vocational,2026-03,30/03/2026,9828,bank,001-408-350-1657x9055,PAY-003
DISB-000383,AUTH-000407,BEN-0035,Plus,2025-02,2025-03-15,8051,bank,698.926.2244,PAY-004
DISB-001430,AUTH-001504,BEN-0132,Scholarship,2026-01,2026-01-26,15120,mobile_money,8365965666,PAY-004
DISB-000154,AUTH-000161,BEN-0014,Scholarship,2026-03,01/04/2026,12691,bank,249.854.5089x2038,PAY-004
DISB-000875,AUTH-000916,BEN-0080,Vocational,2025-03,2026-03-05,10193,mobile_money,249.854.5089x2038,PAY-002
DISB-001293,AUTH-001364,BEN-0120,Plus,2025-05,2025-05-21,8155,mobile_money,(256)599-9880x8177,PAY-001
DISB-000774,AUTH-000814,BEN-0071,Plus,2025-08,2025-08-29,7948,mobile_money,+1-609-901-0016x761,PAY-003
DISB-000187,AUTH-000195,BEN-0017,Scholarship,2025-02,2025-02-27,14712,mobile_money,774.270.1687x339,PAY-004
DISB-001560,AUTH-001636,BEN-0145,Vocational,2025-11,2025-12-07," KES 7,557 ",mobile_money,(707)881-1379,PAY-002
DISB-001988,AUTH-002085,BEN-0187,Tech,2025-03,2025-04-01,11942,bank,688-548-5200,PAY-004
DISB-000612,AUTH-000645,BEN-0056,Plus,2026-05,2026-06-14,7861,bank,7397652239,PAY-003
DISB-000285,AUTH-000306,BEN-0026,Tech,2025-09,2025-10-03,11984,mobile_money,+1-982-851-2868x23004,PAY-003
DISB-001474,AUTH-001548,BEN-0137,Vocational,2025-09,2025-10-09,9980,mobile_money,728-860-4765x801,PAY-001
DISB-001816,AUTH-001905,BEN-0171,Plus,2025-05,2025-05-15,8063,bank,(406)534-5911,PAY-001
DISB-000051,AUTH-000051,BEN-0004,Plus,2026-06,2026-06-17,6921,mobile_money,001-205-781-4770,PAY-001
