disbursement_id,authorization_id,beneficiary_id,pillar_id,period,date,amount_paid,channel,disbursing_account,processed_by
DISB-000413,AUTH-000435,BEN-0040,Scholarship,2025-02,2026-03-31,15141,bank,249.854.5089x2038,PAY-004
DISB-000342,AUTH-000360,BEN-0032,Vocational,2026-05,2026-06-06,10088,bank,001-234-410-1666x870,PAY-004
DISB-001036,AUTH-001098,BEN-0095,Tech,2025-05,2025-05-31,11924,mobile_money,692.805.3021,PAY-003
DISB-000177,AUTH-000184,BEN-0015,Vocational,2026-05,2026-06-13,10180,bank,414-438-4249x8182,PAY-003
DISB-001450,AUTH-001527,BEN-0134,Scholarship,2025-02,2025-03-13,14802,mobile_money,001-247-781-8913x71894,PAY-004
DISB-000180,AUTH-000187,BEN-0015,Vocational,2026-02,2026-02-23,10147,bank,414-438-4249x8182,PAY-002
DISB-001129,AUTH-001191,BEN-0104,Plus,2025-03,2025-04-01,8038,bank,780.577.4064x9308,PAY-003
DISB-000765,AUTH-000813,BEN-0072,Vocational,2025-09,2025-09-20,10198,mobile_money,235.364.2087x37530,PAY-001
DISB-001161,AUTH-001225,BEN-0107,Plus,2026-04,2026-04-17," KES 7,989 ",mobile_money,792.451.3271x9500,PAY-003
DISB-001987,AUTH-002087,BEN-0182,Plus,2025-02,2025-02-26,7933,mobile_money,+1-284-207-6789x973,PAY-001
DISB-001803,AUTH-001890,BEN-0164,Scholarship,2025-11,2025-11-21,14772,mobile_money,941-852-0850,PAY-001
DISB-001604,AUTH-001684,BEN-0147,Vocational,2026-05,2026-05-23,10144,bank,4632356939,PAY-002
DISB-000826,AUTH-000875,BEN-0076,Vocational,2025-02,2025-02-23,9991,bank,758.799.7571x130,PAY-004
DISB-000694,AUTH-000742,BEN-0066,Vocational,2025-02,2025-03-20,10138,mobile_money,743.674.8969x108,PAY-002
DISB-001900,AUTH-001995,BEN-0174,Plus,2025-11,2025-11-24,8153,mobile_money,+1-736-269-4118x00537,PAY-002
DISB-001060,AUTH-001122,BEN-0097,Scholarship,2025-05,2025-05-31," KES 14,777 ",bank,723-473-3343x333,PAY-004
DISB-001710,AUTH-001792,BEN-0155,Vocational,2025-12,2026-01-16,10155,mobile_money,001-647-687-3002,PAY-004
DISB-001356,AUTH-001429,BEN-0126,Vocational,2025-10,2026-03-07,9868,mobile_money,249.854.5089x2038,PAY-001
DISB-001714,AUTH-001796,BEN-0156,Scholarship,2025-07,2025-08-06,14849,bank,372-552-0456x50448,PAY-004
DISB-000618,AUTH-000659,BEN-0059,Vocational,2025-09,2026-03-13," KES 7,445 ",mobile_money,249.854.5089x2038,PAY-001
DISB-001330,AUTH-001403,BEN-0123,Tech,2025-01,2025-02-01,12143,mobile_money,(622)749-9982x79501,PAY-002
DISB-001107,AUTH-001169,BEN-0102,Plus,2026-03,2026-03-11,8077,bank,249.854.5089x2038,PAY-004
DISB-001127,AUTH-001189,BEN-0104,Plus,2025-04,2025-05-07,7849,mobile_money,780.577.4064x9308,PAY-001
DISB-000183,AUTH-000190,BEN-0016,Vocational,2026-06,2026-06-29,9364,bank,+1-464-771-0276x77359,PAY-004
DISB-000232,AUTH-000242,BEN-0020,Plus,2025-09,2025-10-02,8005,mobile_money,638.957.8652x78585,PAY-004
DISB-000501,AUTH-000539,BEN-0049,Scholarship,2025-09,2025-10-02,12401,mobile_money,001-710-256-4814x9177,PAY-002
DISB-000093,AUTH-000094,BEN-0007,Vocational,2025-12,2026-01-11,10162,mobile_money,+1-937-994-7383x47359,PAY-003
DISB-000632,AUTH-000677,BEN-0060,Plus,2025-11,2025-12-02,8035,bank,001-687-920-5061,PAY-003
DISB-000368,AUTH-000387,BEN-0035,Plus,2025-05,2025-06-11,6157,mobile_money,698.926.2244,PAY-002
DISB-001231,AUTH-001296,BEN-0114,Scholarship,2026-02,2026-03-06,15209,mobile_money,516-586-2278x376,PAY-003
DISB-002078,AUTH-002182,BEN-0191,Vocational,2025-09,2025-09-23,10049,bank,001-409-283-7801,PAY-001
